,avg_dollar_volume,median_dollar_volume,median_spread_pct,spread_pct_p90,realized_vol_annualized_pct,atr_pct_mean,vol_of_vol,pct_days_vol_regime_change,adx_mean,pct_days_trending_adx,pct_days_ranging_adx,hurst,hurst_significant,hurst_p_value,autocorr_lag1,variance_ratio_q5,regime_label,candlestick_edge,candlestick_significant,candlestick_p_value,candlestick_n_signals,candlestick_signal_rate,candlestick_label,momentum_edge,momentum_significant,momentum_p_value,momentum_n_windows,momentum_lookback_return,pct_days_above_trend_ma,momentum_label,history_years,avg_correlation_to_universe,expense_ratio,total_assets,liquidity_score,vol_adequacy_score,predictability_score,candlestick_score,momentum_score,diversification_score,history_adequacy_score,etf_expense_score,etf_aum_score,overall_selection_score
SPY,25338897233.02858,24921921902.041718,0.0,0.6611557266551674,14.762326810781538,1.248035761837153,0.04226964765365038,9.578387228817029,23.266833880697373,35.95821615106469,41.3820811570912,0.5452345237845032,False,0.595,-0.11626223822332583,0.858499656066313,random_walk_like,-0.00029757555444533053,False,0.73,726,0.2886679920477137,no_edge,-0.0966501190622393,False,0.38,2242,24.97959804959069,75.82504970178925,no_momentum,9.99315537303217,0.2558517014575377,0.0945,781188857856.0,75.0,50.0,1.357035713535096,7.5,11.25,25.0,100.0,75.0,100.0,52.06999249994746
QQQ,10390932184.160946,9446888468.403244,0.0,0.8851525454887078,19.244273962454237,1.6274183374326112,0.04956354445328232,9.29185427752763,23.666848334868483,38.32864604258738,39.49377259943753,0.523264068090319,False,0.895,-0.10450954938980866,0.836562866862162,random_walk_like,0.00070288653594085,False,0.48,727,0.28906560636182904,no_edge,-0.009724861130114367,False,0.955,2242,26.106035317935717,75.42743538767395,no_momentum,9.99315537303217,0.2801006394420868,0.18,490103177216.0,60.0,0.0,0.69792204270957,11.25,7.5,0.0,100.0,25.0,75.0,31.636354542989668
TLT,1575532562.6157541,1325284164.2326355,0.0,0.48804846643722094,14.172676707658399,1.1547339283920277,0.02598334874825736,2.4559967253376995,21.71868513968786,27.84250703093612,52.7922860586581,0.5491491385358809,False,0.525,-0.02604172855718798,0.8347304451811299,random_walk_like,-0.0008485799223043128,False,0.24,673,0.26759443339960237,no_edge,0.0017823562837732774,False,0.995,2242,-8.392055785819675,48.74751491053678,no_momentum,9.99315537303217,-0.014330518713433752,0.15,41099935744.0,45.0,100.0,1.4744741560764263,15.0,3.75,75.0,100.0,50.0,25.0,57.553213190925355
GLD,1264643167.0889022,1204915335.6758943,0.0,0.43407782398990497,13.368129422694434,1.0695769291652557,0.025892541981124048,2.0875972165370444,22.976994776403316,34.029730815588586,48.0514262756127,0.5557174221232827,False,0.465,0.0132192638222973,1.008329322760099,random_walk_like,0.00018996202798655113,False,0.805,656,0.26083499005964217,no_edge,-0.09740994202573458,False,0.38,2242,25.67504222525374,62.62425447316103,no_momentum,9.99315537303217,0.1387667270100356,0.4,130053275648.0,30.0,50.0,1.6715226636984801,3.75,15.0,50.0,100.0,0.0,50.0,39.479506586458896
