Date,Open,High,Low,Close,Volume
2015-01-02,91.90969500752934,92.90673779543822,91.80780807182146,92.65929412841797,9432000
2015-01-05,93.16143840493322,94.34042835363472,93.12505339078672,94.11482238769531,9789500
2015-01-06,95.11913996267151,96.42184904679051,94.74798280881839,95.81051635742188,18331300
2015-01-07,95.11910841076978,96.04337525770927,94.73339293622789,95.62126922607422,9762900
2015-01-08,94.87169221734624,94.87896588850275,94.18758956402385,94.35497283935547,8055300
2015-01-09,94.02751090971475,95.41754879221199,93.9110655038328,95.38844299316406,9398800
2015-01-12,95.33743012465858,96.29080264913114,95.27920746070423,95.9342041015625,6658100
2015-01-13,95.62125867091252,96.50913486275057,95.4393170103693,95.9342041015625,8260800
2015-01-14,97.31698831510906,97.60809062586986,96.57466298637526,96.66200256347656,12324500
2015-01-15,96.68383874162608,98.27036528012643,96.56010859427347,98.18303680419922,11454200
2015-01-16,97.76094361863852,98.0156554087968,96.81484428628839,96.93128967285156,9390500
2015-01-20,97.61539630114831,98.3286048885985,97.57173205566986,98.21944427490234,7758700
2015-01-21,98.39405824364522,98.67788682002266,96.76386789925738,97.08407592773438,9803900
2015-01-22,97.52076128638986,97.65175399361495,96.26900137253547,96.73477172851562,10200000
2015-01-23,97.73907210739694,98.33583503955889,97.6299004371745,98.08112335205078,7334600
2015-01-26,98.13208562094646,98.38680847655957,97.55715465906408,97.78276062011719,5966500
2015-01-27,98.77980147281629,99.07091490528508,97.62992840045898,97.93560028076172,8079600
2015-01-28,98.06663498025685,100.00249849178357,98.03024439751375,99.53672790527344,12230300
2015-01-29,99.0636174278651,99.46389140566379,98.58329975934723,98.88167572021484,8881400
2015-01-30,100.22079870069368,100.79572974596566,99.83507197329672,100.6356201171875,14871200
2015-02-02,99.68687888373132,100.57655054899321,99.65771424613156,100.25568389892578,13689900
2015-02-03,98.92114278726251,99.02323567511115,97.98771891913486,98.13357543945312,14008700
2015-02-04,97.34601500981164,98.43987235123032,97.07618929903627,98.30131530761719,11360400
2015-02-05,97.71795322561077,97.88567495505669,97.0689314440549,97.22207641601562,8334600
2015-02-06,96.29591224160164,96.51468594002375,95.23121951050342,95.50104522705078,13685600
2015-02-09,96.23762584245279,96.24491422314884,95.34795379638672,95.34795379638672,8025500
2015-02-10,94.90305988599967,95.14370982976756,94.3925953661702,94.58949279785156,8290700
2015-02-11,94.582186311181,94.99785739989744,94.04255719889936,94.76449584960938,6506400
2015-02-12,94.5530588178741,95.194781078628,94.39991384943666,94.45096588134766,12548300
2015-02-13,94.44362182591577,94.45820970347995,93.4081050646647,93.48103332519531,8325200
2015-02-17,93.19665123784594,93.29145020810705,91.82567975736823,92.07362365722656,14968800
2015-02-18,92.48195692465782,93.15285450576415,92.22672475398085,92.62051391601562,14009200
2015-02-19,92.45284674916665,92.94143515926403,92.00801086425781,92.00801086425781,8584800
2015-02-20,92.64972220967881,93.34978470082586,91.88401981906144,92.2778091430664,12502500
2015-02-23,92.75178747061669,93.46643762941898,92.72991121974545,93.33517456054688,7500500
2015-02-24,93.08728928920952,94.64785356403951,92.74454632740076,94.56034851074219,11958300
2015-02-25,94.40717597055472,95.08536211021605,94.13006191230629,94.96868133544922,8019800
2015-02-26,94.58222525250231,95.01977277579361,93.63421303690168,93.6706771850586,11020500
2015-02-27,94.0863443635673,94.52388074058307,93.53941554682615,94.458251953125,9225100
2015-03-02,94.25505575916443,94.30620726496124,92.62568296264583,92.6987533569336,11324000
2015-03-03,92.71338433986615,93.06410335578444,92.34074643066977,92.3626708984375,8599000
2015-03-04,92.74993396578833,92.82299881290533,92.18002035398914,92.39190673828125,6478900
2015-03-05,92.4503735567566,92.70610334407155,91.9900599395897,92.27501678466797,6045000
2015-03-06,91.09134359588292,91.20825182381161,89.84922433384178,90.2364730834961,20022900
2015-03-09,91.09865454811306,91.23748167941397,90.69678947039527,91.06942749023438,8889100
2015-03-10,92.04115182246498,92.38456258131453,91.8877140402214,92.26765441894531,9277900
2015-03-11,92.25304912857331,93.12983810011853,92.15075726770931,92.93986511230469,6663100
2015-03-12,93.67058490886038,93.67058490886038,92.58921151758668,92.8741683959961,10295900
2015-03-13,92.61838414849792,93.22482719452888,92.42110299508136,92.58915710449219,7247200
2015-03-16,93.48060607910156,93.63403837640925,92.99105983156257,93.48060607910156,6374600
2015-03-17,93.92629421453168,94.33546180845791,93.72901299996698,94.25508880615234,6314000
2015-03-18,94.92001150969973,96.10367674589696,93.97015159778374,96.07445526123047,13981900
2015-03-19,95.8625735917538,96.16944940208484,95.18306525794613,95.58493041992188,9543800
2015-03-20,95.8772476300644,96.2279614602924,95.81879346686114,96.0891342163086,5953800
2015-03-23,96.22785395748892,96.26438916229891,95.70909195571626,95.97212982177734,5555500
2015-03-24,96.32289194597926,96.9147246565099,96.06715653202869,96.90010833740234,6713000
2015-03-25,96.97316237376869,97.002383858054,96.05253510751156,96.08175659179688,5635800
2015-03-26,95.75298365815887,95.81874037445542,94.38664204196866,94.58392333984375,9536300
2015-03-27,95.00766777382114,95.81139780083879,94.97113256368746,95.76024627685547,7907900
2015-03-30,95.6433401765473,95.7164105984286,95.05150766584437,95.28532409667969,7010600
2015-03-31,95.16112692224915,95.68720281796233,94.92000787429873,95.48992156982422,6844300
2015-04-01,96.15842507941794,97.00043833149368,96.13646029352535,96.74417877197266,9273900
2015-04-02,96.59771814972326,96.62701197493737,95.63123419175322,95.7190933227539,6663400
2015-04-06,96.23164921644717,96.2682609215728,94.97961157634676,95.18462371826172,5923800
2015-04-07,95.35302084221475,96.07789235815243,95.07479647203863,95.98270416259766,4764900
2015-04-08,95.9314368865129,96.18037854554517,95.19924765007372,96.01197814941406,5378900
2015-04-09,95.82162752029663,95.85823922641097,94.54762505718095,94.76727294921875,6484200
2015-04-10,95.4188904987074,95.51406748615032,94.85510175386258,94.9063491821289,4843000
2015-04-13,94.84048324242275,95.16996620722709,94.73797718287646,95.03817749023438,4010600
2015-04-14,96.1437427048724,96.54644891824736,95.53602445056441,95.71175384521484,6075500
2015-04-15,95.95339825547293,96.11448077554338,95.41890326014138,95.63123321533203,4425200
2015-04-16,95.79233564293027,95.8143004300209,94.75262808878983,95.15533447265625,7085500
2015-04-17,95.01622684601622,96.42934710382373,94.96496822245261,96.24629974365234,7268800
2015-04-20,95.87284123298913,95.92408865968375,95.13332310179874,95.39691162109375,4949400
2015-04-21,95.35301765970308,95.51410021342404,94.8624521269431,94.96495819091797,4563800
2015-04-22,94.8185554137041,94.8551671290242,93.38346443453901,93.5152587890625,9707600
2015-04-23,93.57377791207163,94.34257877299487,93.43466018256971,93.91790771484375,6843400
2015-04-24,94.1887997468006,94.76722418540386,94.15218805952533,94.50364685058594,4773000
2015-04-27,94.50364685058594,94.81848278205293,93.9911055733688,94.50364685058594,4334900
2015-04-28,93.84467995663638,94.26203312569656,93.17839074955246,93.20035552978516,7464300
2015-04-29,92.11672213606242,92.57800491056827,91.72866275101867,92.05815124511719,11554800
2015-04-30,91.55293378765475,92.38030553241583,91.16487442430522,92.21922302246094,12876000
2015-05-01,91.51340370302721,91.74084642701528,90.75036336732052,90.9778060913086,12378500
2015-05-04,91.19790512144922,91.36665112324708,90.03867057967499,90.11937713623047,9144700
2015-05-05,90.14139557828351,90.26612186933313,89.28297731970602,89.99465942382812,13935500
2015-05-06,89.50310611179954,89.5544643397146,88.31452838072892,88.45392608642578,14355000
2015-05-07,89.0922479160882,89.92865661238645,89.03355119412367,89.64251708984375,11933700
2015-05-08,90.52292152693877,90.647653427448,89.73787127110617,89.88461303710938,11716400
2015-05-11,89.2316154715768,89.25362533408612,87.67618654862349,87.69819641113281,13738600
2015-05-12,87.41207694521856,88.50527661437476,87.17729569551469,87.9256591796875,15861700
2015-05-13,88.51995935102809,88.5713175778168,87.04523655662815,87.22132110595703,15760000
2015-05-14,87.2506523382456,87.9183147530771,87.08190631090137,87.45608520507812,9128400
2015-05-15,88.32185842020232,89.44441210431621,88.25582881399806,89.20962524414062,12630600
2015-05-18,88.27779267240459,88.35849921411904,87.65415579357612,87.71285247802734,10208300
2015-05-19,86.77376749659726,87.9256639399493,86.67105104414244,86.9351806640625,8435300
2015-05-20,87.14061555719925,87.63952645091747,86.70773986878116,87.08192443847656,7789700
2015-05-21,87.734909962808,88.49061199307796,87.63952639938914,88.29985046386719,11760700
2015-05-22,88.51995562324115,88.5933237159029,87.89631843917627,88.33653259277344,5417900
2015-05-26,88.65933267362685,89.91395083577048,88.58596459805057,89.84791564941406,10469700
2015-05-27,89.64250182620847,90.14141268270124,89.22429754926796,90.0533676147461,6490300
2015-05-28,89.87728694897503,90.266142886685,89.6718540458548,89.83326721191406,6237600
2015-05-29,90.4128568525615,90.66230941598522,89.88459777987002,90.03133392333984,7912000
2015-06-01,89.78432231916341,89.9828438612566,88.74023442582178,89.06375122070312,13108100
2015-06-02,88.35791410690095,88.42409171305754,87.57852511910986,87.8211669921875,10076200
2015-06-03,87.04909136110933,87.20349823317837,86.1741134763559,86.4094009399414,14810900
2015-06-04,86.9535336143637,87.71086518768105,86.86529868564523,87.5344009399414,10859300
2015-06-05,86.64471834560197,87.18147103754445,86.30649285042217,86.46825408935547,11200200
2015-06-08,86.73294821021824,86.88000642324475,86.2991391036088,86.37266540527344,5334000
2015-06-09,86.07114451323413,86.1226134520241,85.37263668541398,85.68880462646484,12393900
2015-06-10,85.23296878193754,85.38737566335422,84.747690813156,84.93885803222656,12183600
2015-06-11,85.7035326735262,86.7402716702359,85.46824522607152,86.7255630493164,13849300
2015-06-12,86.46086396971799,87.54907192025543,86.4314579472695,86.7255630493164,7863100
2015-06-15,87.41672803854674,87.54172327597658,86.57116179119403,86.86527252197266,8194200
2015-06-16,87.2108621090209,87.55644183618459,86.71822980462406,87.54908752441406,7046400
2015-06-17,87.1299490893706,87.22553266803781,86.21085679939833,86.87260437011719,13626100
