Date,Open,High,Low,Close,Volume
2015-01-02,95.31442038816127,95.71860166820436,94.10186253123743,94.56116485595703,31314600
2015-01-05,94.14778326722234,94.25801834198245,92.90766846185787,93.17406463623047,36521300
2015-01-06,93.31183053869204,93.46799159447637,91.51136687330951,91.92473602294922,66205500
2015-01-07,92.53103055222405,93.33021194888805,92.3105604352722,93.10974884033203,37577400
2015-01-08,93.89975118149961,95.07556379599073,93.79870412790466,94.891845703125,40212600
2015-01-09,95.18581656608977,95.21337358430702,93.71604351612828,94.2672119140625,41410100
2015-01-12,94.45091881412603,94.55196587450978,93.04545498492944,93.28429412841797,34129800
2015-01-13,94.19370967453457,95.18580425239728,92.50347368909482,93.25672912597656,56162300
2015-01-14,92.31975993553705,93.21999550417516,91.92475968731779,92.74231719970703,51354200
2015-01-15,93.17406309479,93.32103618364178,91.42871298614561,91.53894805908203,51005400
2015-01-16,91.41954992701335,92.73315511897826,91.27257679805156,92.61373901367188,35362200
2015-01-20,93.17407279276632,93.58744209460887,92.12686402026085,93.3486099243164,30964100
2015-01-21,93.07300801519287,94.26719667311299,92.74230983325793,93.82626342773438,40128800
2015-01-22,94.19371250225456,95.66347839780553,93.36696699588319,95.56243133544922,40887200
2015-01-23,95.55327246791539,96.06769594453696,95.2776952206812,95.77374267578125,34783000
2015-01-26,95.66345977783203,95.83799685309307,95.17660057673041,95.66345977783203,19960900
2015-01-27,94.15696903506814,94.21208306693829,92.87092122705616,93.1832504272461,45253200
2015-01-28,94.6805675244351,94.78161458223036,92.68719739955827,92.70556640625,43591700
2015-01-29,92.63208860562908,93.77116340616116,91.82371904482324,93.59662628173828,46539700
2015-01-30,93.51393029724387,94.2304406046357,92.74229896039436,92.87090301513672,42927600
2015-02-02,93.08219643984765,93.76196181314062,91.63079963578208,93.67929077148438,43624700
2015-02-03,94.01915668914351,94.64380794653607,93.40369343788184,94.57950592041016,30750400
2015-02-04,94.1937078878401,95.12150041111657,93.98242576551915,94.4968490600586,34073200
2015-02-05,94.73568201328462,95.37870938496079,94.49684988315002,95.31440734863281,23605500
2015-02-06,95.46137802296637,95.6910291481227,94.39580044660703,94.73567962646484,34169300
