Date,Open,High,Low,Close,Volume
2015-01-02,170.47254275626065,170.88554919758974,168.6553043312476,169.6878204345703,121465900
2015-01-05,168.64711237367317,168.81231249174675,166.3177617197252,166.62338256835938,169632600
2015-01-06,166.92893414109756,167.4493262708284,164.2609161597577,165.05389404296875,209151400
2015-01-07,166.3755058100245,167.44932502984875,165.9294644192436,167.11065673828125,125346700
2015-01-08,168.51487082072038,170.2908059455661,168.49835963917315,170.07603454589844,147217800
2015-01-09,170.48905745841736,170.5055812455194,168.10188068241575,168.713134765625,158567300
2015-01-12,168.84530078782205,169.0022452562674,166.78852411875266,167.39151000976562,144396100
2015-01-13,168.60576096190292,169.72913908899594,165.62385367921945,166.9207000732422,214553300
2015-01-14,164.91348263853635,166.111211515272,164.0213997320499,165.9129638671875,192991100
2015-01-15,166.54899117615352,166.86286751898896,164.2774556177399,164.39309692382812,176613900
2015-01-16,164.18656833404498,166.7059099032591,164.004844509121,166.54896545410156,211879600
2015-01-20,167.18501618298058,167.44934637710867,165.34301083199585,166.9041748046875,130991100
2015-01-21,166.44164760507718,168.22583901130292,165.9790822636024,167.7467498779297,122942700
2015-01-22,168.49841437027467,170.37345500531438,167.12722961914895,170.24130249023438,174356000
2015-01-23,169.98521597655784,170.24129060330148,169.17572673589194,169.30789184570312,117516800
2015-01-26,169.09313463881273,169.79523815908667,168.3827629216211,169.70437622070312,92009700
2015-01-27,167.65583025769982,168.60573999976427,166.63983797473307,167.46585083007812,134044600
2015-01-28,168.64702190748716,168.74613940437015,165.1282121246431,165.3181915283203,168514300
2015-01-29,165.5165384563441,167.10248237800533,164.11230585336608,166.84642028808594,173585400
2015-01-30,165.67343415017112,166.99504739330268,164.48397340858196,164.748291015625,197729700
2015-02-02,165.24388830461308,166.87939036836673,163.43491798072392,166.7885284423828,163107000
2015-02-03,167.68062446617702,169.20875342530874,167.30892116918625,169.2004852294922,124212900
2015-02-04,168.4405873095906,169.64657196321926,168.101918918727,168.5562286376953,134306700
2015-02-05,169.21704055366874,170.40650140888124,169.1427024012078,170.2578125,97953200
2015-02-06,170.62130196063555,171.18299754792872,169.2666406787623,169.7870330810547,125672000
2015-02-09,169.1426798861956,169.86130713891177,168.622287680321,169.02703857421875,87219000
2015-02-10,170.05954231341522,171.08379025750745,169.068316736097,170.82772827148438,96164200
2015-02-11,170.66259272275832,171.3564408059999,170.01830341632518,170.92691040039062,91087800
2015-02-12,171.71982537678446,172.62844463006107,170.95989500311532,172.57061767578125,97545900
2015-02-13,172.69452848136683,173.3305493595107,172.43845388699384,173.28099060058594,93670400
2015-02-17,172.9671293090362,173.72707241390395,172.71933547479566,173.55360412597656,76968200
2015-02-18,173.18185657165742,173.64442174946387,172.91752641065045,173.57008361816406,80652900
2015-02-19,172.9753918948121,173.80966051892923,172.83497119197804,173.4462127685547,91462500
2015-02-20,173.0331782281016,174.56130712996128,172.41366855501633,174.48696899414062,140896400
2015-02-23,174.2391617104285,174.46218872070312,173.85919023381086,174.46218872070312,74411100
2015-02-24,174.3879040955802,175.15610293156425,174.09053883712855,174.95785522460938,72472300
2015-02-25,174.8339377101534,175.31302682594247,174.4704899254886,174.8091583251953,73061700
2015-02-26,174.7182566612815,174.87520113297848,173.99961684898244,174.6026153564453,72697900
2015-02-27,174.50344308833775,174.76777320923932,173.95828427089756,174.00784301757812,108076000
2015-03-02,174.10707055309138,175.1643664970403,174.05751177508782,175.10655212402344,87491400
